scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
120484, JM Equity Hybrid Fund (Direct) - Growth Option,Moderately High,Hybrid Scheme,Aggressive Hybrid,JM Equity Hybrid Fund (Direct)
120485, JM Value Fund (Direct) - IDCW,Moderate,Equity Scheme,Value,JM Value Fund (Direct)
120486, JM Value Fund (Direct) - Growth Option,Moderate,Equity Scheme,Value,JM Value Fund (Direct)
120487, JM Core 11 Fund (Direct) -  IDCW,Low to Moderate,Equity Scheme,Focused,JM Core 11 Fund (Direct)
120488, JM Core 11 Fund (Direct)  - Growth Option,Moderate,Equity Scheme,Focused,JM Core 11 Fund (Direct)
120489, JM Large Cap Fund (Direct) - IDCW,Low to Moderate,Equity Scheme,Large Cap,JM Large Cap Fund (Direct)
120490, JM Large Cap Fund (Direct) - Growth Option,Low to Moderate,Equity Scheme,Large Cap,JM Large Cap Fund (Direct)
120491, JM Flexicap Fund (Direct) - IDCW,Moderate,Others,Others,JM Flexicap Fund (Direct)
120492, JM Flexicap Fund (Direct) - Growth Option,Very High,Others,Others,JM Flexicap Fund (Direct)
120493, JM Tax Gain Fund (Direct) - IDCW,Low to Moderate,Equity Scheme,ELSS,JM Tax Gain Fund (Direct)
120494, JM Tax Gain Fund (Direct) - Growth Option,Moderately High,Equity Scheme,ELSS,JM Tax Gain Fund (Direct)
120496, Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Low to Moderate,Debt Scheme,Corporate Bond,Invesco India Corporate Bond Fund
120497, Invesco India Corporate Bond Fund - Direct Plan - Growth,Low to Moderate,Debt Scheme,Corporate Bond,Invesco India Corporate Bond Fund
120499, Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),Low to Moderate,Debt Scheme,Corporate Bond,Invesco India Corporate Bond Fund
120500, Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),Low to Moderate,Debt Scheme,Corporate Bond,Invesco India Corporate Bond Fund
120501, Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),Low to Moderate,Debt Scheme,Corporate Bond,Invesco India Corporate Bond Fund
120502, Axis Long Term Equity Fund - Direct Plan - IDCW,Very High,Equity Scheme,ELSS,Axis Long Term Equity Fund
120503, Axis Long Term Equity Fund - Direct Plan - Growth Option,Low to Moderate,Equity Scheme,ELSS,Axis Long Term Equity Fund
120504, Axis Midcap Fund - Direct Plan - IDCW,Moderate,Equity Scheme,Mid Cap,Axis Midcap Fund
120505, Axis Midcap Fund - Direct Plan - Growth,Moderate,Equity Scheme,Mid Cap,Axis Midcap Fund
120506, Invesco India Money Market Fund - Direct Plan - Daily IDCW (Reinvestment),Low,Debt Scheme,Money Market,Invesco India Money Market Fund
120507, Invesco India Money Market Fund - Direct Plan - Growth,Moderately High,Debt Scheme,Money Market,Invesco India Money Market Fund
120508, Invesco India Money Market Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),Very High,Debt Scheme,Money Market,Invesco India Money Market Fund
120509, Invesco India Money Market Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Very High,Debt Scheme,Money Market,Invesco India Money Market Fund
120510, Axis Short Term Fund - Direct Plan - Growth Option,Moderate,Debt Scheme,Short Duration,Axis Short Term Fund
120511, Axis Short Term Fund - Direct Plan - Monthly IDCW,Moderate,Debt Scheme,Short Duration,Axis Short Term Fund
120512, Axis Short Term Fund - Direct Plan - Weekly IDCW,Moderate,Debt Scheme,Short Duration,Axis Short Term Fund
120513, Axis Treasury Advantage Fund - Direct Plan - Growth Option,Moderately High,Debt Scheme,Low Duration,Axis Treasury Advantage Fund
120514, Axis Treasury Advantage Fund - Direct Plan - Weekly IDCW,Moderate,Debt Scheme,Low Duration,Axis Treasury Advantage Fund
120515, Axis Treasury Advantage Fund - Direct Plan - Daily IDCW,High,Debt Scheme,Low Duration,Axis Treasury Advantage Fund
120516, Axis Treasury Advantage Fund - Direct Plan - Monthly IDCW,Moderately High,Debt Scheme,Low Duration,Axis Treasury Advantage Fund
120517, Aditya Birla Sun Life Equity Hybrid95 Fund - Direct Plan-Growth,High,Hybrid Scheme,Aggressive Hybrid,Aditya Birla Sun Life Equity Hybrid95 Fund
120518, Aditya Birla Sun Life Equity Hybrid95 Fund -DIRECT - IDCW,Moderate,Hybrid Scheme,Aggressive Hybrid,Aditya Birla Sun Life Equity Hybrid95 Fund
120519, Invesco India Gilt Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),Moderate,Debt Scheme,Gilt,Invesco India Gilt Fund
120520, Invesco India Gilt Fund - Direct  Plan - Growth,Moderate,Debt Scheme,Gilt,Invesco India Gilt Fund
120521, Invesco India Gilt Fund - Direct Plan - Monthly IDCW (Reinvestment),Moderately High,Debt Scheme,Gilt,Invesco India Gilt Fund
120522, Invesco India Gilt Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),High,Debt Scheme,Gilt,Invesco India Gilt Fund
120523, Axis Triple Advantage Fund - Direct Plan - IDCW,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,Axis Triple Advantage Fund
120524, Axis Triple Advantage Fund - Direct Plan - Growth Option,Low to Moderate,Hybrid Scheme,Multi Asset Allocation,Axis Triple Advantage Fund
120530, Invesco India Gold Fund - Direct Plan - IDCW (Payout / Reinvestment),Low,Other Scheme,FoFs(Oversease/Domestic),Invesco India Gold Fund
120531, Invesco India Gold Fund - Direct Plan- - Growth,Low,Other Scheme,FoFs(Oversease/Domestic),Invesco India Gold Fund
120534, Invesco India Liquid Fund - Direct Plan- Daily IDCW (Reinvestment),Moderate,Debt Scheme,Liquid,Invesco India Liquid Fund
120535, Invesco India Liquid Fund - Direct Plan - Weekly IDCW (Reinvestment),Moderate,Debt Scheme,Liquid,Invesco India Liquid Fund
120536, Invesco India Liquid Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Low to Moderate,Debt Scheme,Liquid,Invesco India Liquid Fund
120537, Invesco India Liquid Fund - Direct Plan - Growth,Low to Moderate,Debt Scheme,Liquid,Invesco India Liquid Fund
120538, Aditya Birla Sun Life Digital India Fund -DIRECT - IDCW,Low to Moderate,Others,Others,Aditya Birla Sun Life Digital India Fund
120539, Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,Very High,Others,Others,Aditya Birla Sun Life Digital India Fund
120541, Invesco India Ultra Short Term Fund - Direct Plan - Growth,Low to Moderate,Debt Scheme,Ultra Short Duration,Invesco India Ultra Short Term Fund
120542, Invesco India Ultra Short Term Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Very High,Debt Scheme,Ultra Short Duration,Invesco India Ultra Short Term Fund
120543, Invesco India Ultra Short Term Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),Moderately High,Debt Scheme,Ultra Short Duration,Invesco India Ultra Short Term Fund
120544, Invesco India Ultra Short Term Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),Low to Moderate,Debt Scheme,Ultra Short Duration,Invesco India Ultra Short Term Fund
120545, Aditya Birla Sun Life Gold Fund-DIRECT - IDCW,Moderate,Other Scheme,FoFs(Oversease/Domestic),Aditya Birla Sun Life Gold Fund
120546, Aditya Birla Sun Life Gold Fund - Growth - Direct Plan,Moderate,Other Scheme,FoFs(Oversease/Domestic),Aditya Birla Sun Life Gold Fund
120550, Aditya Birla Sun Life Regular Savings Fund - DIRECT - MONTHLY IDCW,Low to Moderate,Hybrid Scheme,Conservative Hybrid,Aditya Birla Sun Life Regular Savings Fund
120558, UTI Liquid Cash Plan - Direct Plan - Daily IDCW (Reinvestment),Low to Moderate,Debt Scheme,Liquid,UTI Liquid Cash Plan
120559, Invesco India Short Term Fund - Direct Plan - Daily IDCW (Reinvestment),Low to Moderate,Debt Scheme,Short Duration,Invesco India Short Term Fund
120560, Invesco India Short Term Fund - Direct Plan - Growth,Low to Moderate,Debt Scheme,Short Duration,Invesco India Short Term Fund
120561, Invesco India Short Term Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Low to Moderate,Debt Scheme,Short Duration,Invesco India Short Term Fund
120562, Invesco India Short Term Fund - Direct Plan -Weekly IDCW (Reinvestment),Low to Moderate,Debt Scheme,Short Duration,Invesco India Short Term Fund
120563, Invesco India Short Term Fund - Direct Plan -Discretionary IDCW (Payout / Reinvestment),Moderately High,Debt Scheme,Short Duration,Invesco India Short Term Fund
120564, Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,High,Others,Others,Aditya Birla Sun Life Flexi Cap Fund
120565, Aditya Birla Sun Life Flexi Cap Fund -DIRECT - IDCW,Low to Moderate,Others,Others,Aditya Birla Sun Life Flexi Cap Fund
120566, Invesco India Treasury Advantage Fund - Direct Plan -Daily IDCW (Reinvestment),Low to Moderate,Debt Scheme,Low Duration,Invesco India Treasury Advantage Fund
120567, Invesco India Treasury Advantage Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),Very High,Debt Scheme,Low Duration,Invesco India Treasury Advantage Fund
120568, Invesco India Treasury Advantage Fund - Direct Plan - Weekly IDCW (Payout / Reinvestment),Moderately High,Debt Scheme,Low Duration,Invesco India Treasury Advantage Fund
120569, Invesco India Treasury Advantage Fund - Direct Plan - Bonus,Moderately High,Debt Scheme,Low Duration,Invesco India Treasury Advantage Fund
120570, Invesco India Treasury Advantage Fund - Direct Plan - Growth,High,Debt Scheme,Low Duration,Invesco India Treasury Advantage Fund
120571, Invesco India Treasury Advantage Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),High,Debt Scheme,Low Duration,Invesco India Treasury Advantage Fund
120575, SBI CONSUMPTION OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,Very High,Others,Others,SBI CONSUMPTION OPPORTUNITIES FUND
120576, SBI CONSUMPTION OPPORTUNITIES FUND - REGULAR - GROWTH,Low to Moderate,Others,Others,SBI CONSUMPTION OPPORTUNITIES FUND
120577, SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,Low to Moderate,Others,Others,SBI TECHNOLOGY OPPORTUNITIES FUND
120578, SBI TECHNOLOGY OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,High,Others,Others,SBI TECHNOLOGY OPPORTUNITIES FUND
120579, ICICI Prudential Child Care Fund (Gift Plan) - Direct Plan - Cumulative,Moderately High,Solution Scheme,Children's,ICICI Prudential Child Care Fund (Gift Plan)
120580, ICICI Prudential Dynamic Bond Fund - Direct Plan -  Monthly Dividend,Moderate,Others,Others,ICICI Prudential Dynamic Bond Fund
120581, ICICI Prudential Dynamic Bond Fund - Direct Plan -  Half Yearly Dividend,High,Others,Others,ICICI Prudential Dynamic Bond Fund
120582, ICICI Prudential Dynamic Bond Fund - Direct Plan -  Growth,Moderate,Others,Others,ICICI Prudential Dynamic Bond Fund
120583, ICICI Prudential Dynamic Bond Fund - Direct Plan - Quarterly Dividend,Low to Moderate,Others,Others,ICICI Prudential Dynamic Bond Fund
120584, ICICI Prudential Dynamic Bond Fund - Direct Plan -  Daily Dividend,High,Others,Others,ICICI Prudential Dynamic Bond Fund
120585, ICICI Prudential Bluechip Fund - Direct Plan - IDCW,Low,Equity Scheme,Large Cap,ICICI Prudential Bluechip Fund
120586, ICICI Prudential Bluechip Fund - Direct Plan - Growth,Moderate,Equity Scheme,Large Cap,ICICI Prudential Bluechip Fund
120587, ICICI Prudential FMCG Fund - Direct Plan -  Growth,Moderate,Others,Others,ICICI Prudential FMCG Fund
120588, ICICI Prudential FMCG Fund - Direct Plan -  IDCW,Very High,Others,Others,ICICI Prudential FMCG Fund
120589, ICICI Prudential Gilt Fund - Direct Plan - IDCW,Low to Moderate,Debt Scheme,Gilt,ICICI Prudential Gilt Fund
120590, ICICI Prudential Gilt Fund - Direct Plan - Growth,Moderately High,Debt Scheme,Gilt,ICICI Prudential Gilt Fund
120591, ICICI Prudential Smallcap Fund - Direct Plan - Growth,Very High,Equity Scheme,Small Cap,ICICI Prudential Smallcap Fund
120592, ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth,Very High,Equity Scheme,ELSS,ICICI Prudential Long Term Equity Fund (Tax Saving)
120593, ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  IDCW,Moderately High,Equity Scheme,ELSS,ICICI Prudential Long Term Equity Fund (Tax Saving)
120594, ICICI Prudential Technology Fund - Direct Plan -  Growth,High,Others,Others,ICICI Prudential Technology Fund
120595, ICICI Prudential Technology Fund - Direct Plan -  IDCW,Moderate,Others,Others,ICICI Prudential Technology Fund
120596, ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,High,Equity Scheme,Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund
120597, ICICI Prudential Large & Mid Cap Fund - Direct Plan - IDCW,Moderate,Equity Scheme,Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund
120598, ICICI Prudential Multicap Fund - Direct Plan -  IDCW,Moderate,Equity Scheme,Multi Cap,ICICI Prudential Multicap Fund
120599, ICICI Prudential Multicap Fund - Direct Plan -  Growth,Moderate,Equity Scheme,Multi Cap,ICICI Prudential Multicap Fund
120600, ICICI Prudential All Seasons Bond Fund - Direct Plan - IDCW,Low to Moderate,Debt Scheme,Dynamic Bond,ICICI Prudential All Seasons Bond Fund
120601, ICICI Prudential All Seasons Bond Fund - Direct Plan - Annual IDCW,Moderate,Debt Scheme,Dynamic Bond,ICICI Prudential All Seasons Bond Fund
120602, ICICI Prudential All Seasons Bond Fund - Direct Plan - Quarterly IDCW,Moderately High,Debt Scheme,Dynamic Bond,ICICI Prudential All Seasons Bond Fund
120603, ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth,Low,Debt Scheme,Dynamic Bond,ICICI Prudential All Seasons Bond Fund
120604, ICICI Prudential All Seasons Bond Fund - Direct Plan - Weekly IDCW,Moderate,Debt Scheme,Dynamic Bond,ICICI Prudential All Seasons Bond Fund
120605, ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan -Growth Option,Moderate,Debt Scheme,Gilt,ICICI Prudential Gilt Fund Investment Plan PF Option
120606, ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan - Half Yearly Dividend,Moderate,Debt Scheme,Gilt,ICICI Prudential Gilt Fund Investment Plan PF Option
120607, ICICI Prudential Short Term Gilt Fund - Direct Plan -  Dividend,Moderately High,Others,Others,ICICI Prudential Short Term Gilt Fund
120608, ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth,Low,Others,Others,ICICI Prudential Short Term Gilt Fund
120609, ICICI Prudential Short Term Gilt Fund - Direct Plan -  Half Yearly Dividend,Moderately High,Others,Others,ICICI Prudential Short Term Gilt Fund
120610, ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Quarterly Dividend,High,Debt Scheme,Gilt,ICICI Prudential Gilt Fund Treasury Plan PF Option
120611, ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan -Growth Option,High,Debt Scheme,Gilt,ICICI Prudential Gilt Fund Treasury Plan PF Option
120612, ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Half Yearly Dividend,Low to Moderate,Debt Scheme,Gilt,ICICI Prudential Gilt Fund Treasury Plan PF Option
120613, ICICI Prudential Regular Savings Fund - Direct Plan - Half Yearly IDCW,Low to Moderate,Hybrid Scheme,Conservative Hybrid,ICICI Prudential Regular Savings Fund
120614, ICICI Prudential Regular Savings Fund - Direct Plan - Quarterly IDCW,Very High,Hybrid Scheme,Conservative Hybrid,ICICI Prudential Regular Savings Fund
120615, ICICI Prudential Regular Savings Fund - Direct Plan - Monthly IDCW,Moderately High,Hybrid Scheme,Conservative Hybrid,ICICI Prudential Regular Savings Fund
120616, ICICI Prudential Regular Savings Fund - Direct Plan - Growth,Moderate,Hybrid Scheme,Conservative Hybrid,ICICI Prudential Regular Savings Fund
120617, ICICI Prudential Bond Fund - Direct Plan - IDCW Monthly,High,Debt Scheme,Medium to Long Duration,ICICI Prudential Bond Fund
120618, ICICI Prudential Bond Fund - Direct Plan - IDCW Quarterly,Moderately High,Debt Scheme,Medium to Long Duration,ICICI Prudential Bond Fund
120619, ICICI Prudential Bond Fund - Direct Plan - Growth,Moderate,Debt Scheme,Medium to Long Duration,ICICI Prudential Bond Fund
120620, ICICI Prudential Nifty Index Fund - Direct Plan Cumulative Option,Moderate,Other Scheme,Indexs/ETFs,ICICI Prudential Nifty Index Fund
120621, ICICI Prudential Infrastructure Fund - Direct Plan -  Growth,Low to Moderate,Others,Others,ICICI Prudential Infrastructure Fund
120622, ICICI Prudential Infrastructure Fund - Direct Plan -  IDCW,Low to Moderate,Others,Others,ICICI Prudential Infrastructure Fund
120623, ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Growth,Low to Moderate,Others,Others,ICICI Prudential Interval Fund IV Quarterly Interval Plan B
120624, ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Dividend,Low,Others,Others,ICICI Prudential Interval Fund IV Quarterly Interval Plan B
120625, ICICI Prudential Interval Fund Annual Interval Plan I - Direct Plan -  Growth,Moderate,Others,Others,ICICI Prudential Interval Fund Annual Interval Plan I
120627, ICICI Prudential Interval Fund Annual Interval Plan II - Direct Plan -  Growth,Low to Moderate,Others,Others,ICICI Prudential Interval Fund Annual Interval Plan II
120629, ICICI Prudential Interval Fund Annual Interval Plan III - Direct Plan -  Growth,Very High,Others,Others,ICICI Prudential Interval Fund Annual Interval Plan III
120631, ICICI Prudential Interval Fund Annual Interval Plan IV - Direct Plan -  Growth,Moderate,Others,Others,ICICI Prudential Interval Fund Annual Interval Plan IV
120635, ICICI Prudential Interval Fund Monthly Interval Plan I - Direct Plan -  Dividend,Low to Moderate,Others,Others,ICICI Prudential Interval Fund Monthly Interval Plan I
120636, ICICI Prudential Interval Fund Monthly Interval Plan I - Direct Plan -  Growth,Very High,Others,Others,ICICI Prudential Interval Fund Monthly Interval Plan I
120637, ICICI Prudential Interval Fund Quarterly Interval Plan 1 - Direct Plan - Dividend,Low to Moderate,Others,Others,ICICI Prudential Interval Fund Quarterly Interval Plan 1
120638, ICICI Prudential Interval Fund Quarterly Interval Plan 1 - Direct Plan -  Growth,Moderate,Others,Others,ICICI Prudential Interval Fund Quarterly Interval Plan 1
120639, ICICI Prudential Interval Fund II Quarterly Interval - Direct Plan -  Growth,Very High,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval
120641, ICICI Prudential Interval Fund II Quarterly Interval Plan A - Direct Plan -  Dividend,Moderate,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan A
120642, ICICI Prudential Interval Fund II Quarterly Interval Plan A - Direct Plan -  Growth,High,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan A
120643, ICICI Prudential Interval Fund II Quarterly Interval Plan B - Direct Plan -  Growth,Very High,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan B
120644, ICICI Prudential Interval Fund II Quarterly Interval Plan B - Direct Plan -  Dividend,Moderately High,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan B
120646, ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Growth,Moderate,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan C
120647, ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Dividend,Moderate,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan C
120648, ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Quarterly Dividend Payout,Low,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan C
120649, ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan - Growth,Moderate,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan D
120650, ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan -  Quarterly Dividend Payout,Moderate,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan D
120651, ICICI Prudential Interval Fund II Quarterly Interval Plan D - Direct Plan -  Dividend,Very High,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan D
120652, ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Growth,Moderately High,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan F
120653, ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Dividend,Low to Moderate,Others,Others,ICICI Prudential Interval Fund II Quarterly Interval Plan F
120654, ICICI Prudential Interval Fund III Quarterly Interval - Direct Plan -  Dividend,Moderate,Others,Others,ICICI Prudential Interval Fund III Quarterly Interval
120655, ICICI Prudential Interval Fund III Quarterly Interval - Direct Plan -  Growth,Moderately High,Others,Others,ICICI Prudential Interval Fund III Quarterly Interval
120656, UTI - Master Share-Growth Option - Direct,Moderate,Equity Scheme,Large Cap,UTI
120657, UTI Mastershare Unit Scheme - Direct Plan - IDCW,Very High,Equity Scheme,Large Cap,UTI Mastershare Unit Scheme
120660, ICICI Prudential Interval Fund V Monthly Interval Plan A - Direct Plan -  Dividend,Low to Moderate,Others,Others,ICICI Prudential Interval Fund V Monthly Interval Plan A
120661, ICICI Prudential Interval Fund V Monthly Interval Plan A - Direct Plan - Growth,Very High,Others,Others,ICICI Prudential Interval Fund V Monthly Interval Plan A
120662, UTI - Flexi Cap Fund-Growth Option - Direct,Moderate,Others,Others,UTI
120663, UTI Flexi Cap Fund - Direct Plan - IDCW,Moderate,Others,Others,UTI Flexi Cap Fund
120664, UTI Core Equity Fund - Direct Plan - IDCW,Low to Moderate,Equity Scheme,Large & Mid Cap,UTI Core Equity Fund
120665, UTI - Core Equity Fund - Direct Plan - Growth Option,Moderate,Equity Scheme,Large & Mid Cap,UTI
120666, ICICI Prudential MIP - Direct Plan -  Dividend Quarterly,Moderate,Others,Others,ICICI Prudential MIP
120667, ICICI Prudential MIP - Direct Plan -  Dividend Monthly,Moderately High,Others,Others,ICICI Prudential MIP
120668, ICICI Prudential MIP - Direct Plan -  Growth,Very High,Others,Others,ICICI Prudential MIP
120669, ICICI Prudential MIP - Direct Plan -  Dividend Half Yearly,Low to Moderate,Others,Others,ICICI Prudential MIP
120670, ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth,Very High,Debt Scheme,Medium Duration,ICICI Prudential Medium Term Bond Fund
120671, ICICI Prudential Medium Term Bond Fund - Direct Plan - Quarterly IDCW,Very High,Debt Scheme,Medium Duration,ICICI Prudential Medium Term Bond Fund
120672, ICICI Prudential Medium Term Bond Fund - Direct Plan - Half Yearly IDCW,Very High,Debt Scheme,Medium Duration,ICICI Prudential Medium Term Bond Fund
120673, UTI Hybrid Equity Fund - Direct Plan - IDCW,Moderate,Hybrid Scheme,Aggressive Hybrid,UTI Hybrid Equity Fund
120674, UTI - Hybrid Equity Fund -Direct Plan - Growth,Low to Moderate,Hybrid Scheme,Aggressive Hybrid,UTI
120675, ICICI Prudential Ultra Short Term Fund - Direct Plan -  Quarterly IDCW,High,Debt Scheme,Ultra Short Duration,ICICI Prudential Ultra Short Term Fund
120676, ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth,High,Debt Scheme,Ultra Short Duration,ICICI Prudential Ultra Short Term Fund
120677, ICICI Prudential Ultra Short Term Fund - Direct Plan -  Monthly IDCW,Low,Debt Scheme,Ultra Short Duration,ICICI Prudential Ultra Short Term Fund
120678, ICICI Prudential Ultra Short Term Fund - Direct Plan -  Half Yearly IDCW,Low to Moderate,Debt Scheme,Ultra Short Duration,ICICI Prudential Ultra Short Term Fund
120679, ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan - Growth,Low to Moderate,Other Scheme,FoFs(Oversease/Domestic),ICICI Prudential Asset Allocator Fund (FOF)
120680, ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan - IDCW,Very High,Other Scheme,FoFs(Oversease/Domestic),ICICI Prudential Asset Allocator Fund (FOF)
120681, UTI MNC Fund - Direct Plan - IDCW,Very High,Others,Others,UTI MNC Fund
120682, UTI - MNC Fund - Growth Option - Direct,Moderate,Others,Others,UTI
120683, ICICI Prudential Nifty Next 50 Index Fund - Direct Plan -  IDCW,Moderately High,Other Scheme,Indexs/ETFs,ICICI Prudential Nifty Next 50 Index Fund
120684, ICICI Prudential Nifty Next 50 Index Fund - Direct Plan -  Growth,High,Other Scheme,Indexs/ETFs,ICICI Prudential Nifty Next 50 Index Fund
120685, ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan -  Growth,Very High,Other Scheme,FoFs(Oversease/Domestic),ICICI Prudential Regular Gold Savings Fund (FOF)
120686, ICICI Prudential Regular Gold Savings Fund (FOF) - Direct Plan -  IDCW,Moderate,Other Scheme,FoFs(Oversease/Domestic),ICICI Prudential Regular Gold Savings Fund (FOF)
120687, ICICI Prudential Exports & Services Fund - Direct Plan - IDCW,Moderate,Others,Others,ICICI Prudential Exports & Services Fund
120688, ICICI Prudential Exports & Services Fund - Direct Plan - Growth,Moderately High,Others,Others,ICICI Prudential Exports & Services Fund
120689, UTI Bond Fund-Growth - Direct,Low to Moderate,Debt Scheme,Medium to Long Duration,UTI Bond Fund
120690, UTI Bond Fund - Direct Plan - Quarterly IDCW,Moderately High,Debt Scheme,Medium to Long Duration,UTI Bond Fund
120691, ICICI Prudential Child Care Plan Study - Direct Plan- Cumulative,Moderate,Others,Others,ICICI Prudential Child Care Plan Study
120692, ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,High,Debt Scheme,Corporate Bond,ICICI Prudential Corporate Bond Fund
120693, ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,Moderate,Debt Scheme,Corporate Bond,ICICI Prudential Corporate Bond Fund
120694, ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,Moderately High,Debt Scheme,Corporate Bond,ICICI Prudential Corporate Bond Fund
120695, ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,Very High,Debt Scheme,Corporate Bond,ICICI Prudential Corporate Bond Fund
120696, ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,Low to Moderate,Debt Scheme,Corporate Bond,ICICI Prudential Corporate Bond Fund
120697, ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,Moderately High,Debt Scheme,Corporate Bond,ICICI Prudential Corporate Bond Fund
120700, ICICI Prudential Thematic Advantage Fund (FOF) - Direct Plan - Growth,Low to Moderate,Other Scheme,FoFs(Oversease/Domestic),ICICI Prudential Thematic Advantage Fund (FOF)
120702, ICICI Prudential Debt Management Fund (FOF) - Direct Plan - Growth,Very High,Other Scheme,FoFs(Oversease/Domestic),ICICI Prudential Debt Management Fund (FOF)
120703, ICICI Prudential Debt Management Fund (FOF) - Direct Plan -  IDCW,Moderate,Other Scheme,FoFs(Oversease/Domestic),ICICI Prudential Debt Management Fund (FOF)
120705, Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Direct Plan,Low,Hybrid Scheme,Conservative Hybrid,Aditya Birla Sun Life Regular Savings Fund
120709, ICICI Prudential Credit Risk Fund - Direct Plan - Quarterly IDCW,Moderately High,Debt Scheme,Credit Risk,ICICI Prudential Credit Risk Fund
120710, ICICI Prudential Credit Risk Fund - Direct Plan - Half Yearly IDCW,Very High,Debt Scheme,Credit Risk,ICICI Prudential Credit Risk Fund
120711, ICICI Prudential Credit Risk Fund - Direct Plan - Growth,Low,Debt Scheme,Credit Risk,ICICI Prudential Credit Risk Fund
120714, UTI Long Term Equity Fund ( Tax Saving ) - Direct Plan - IDCW,Moderately High,Equity Scheme,ELSS,UTI Long Term Equity Fund ( Tax Saving )
120715, UTI - Long Term Equity Fund (Tax Saving) - Direct Plan - Growth Option,High,Equity Scheme,ELSS,UTI
120716, UTI - NIFTY Index Fund-Growth Option- Direct,Moderate,Other Scheme,Indexs/ETFs,UTI
