scheme_code,scheme_name,Risk,mf_category,mf_sub_category,fund_name
141034, IDFC FIXED TERM PLAN SERIES-131 (1139Days)-Regular Plan-Growth,Low to Moderate,Others,Others,IDFC FIXED TERM PLAN SERIES
141036, Nippon India Fixed Horizon Fund XXXIII- Series 7- Direct Plan-Growth Option,Moderately High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141037, Nippon India Fixed Horizon Fund XXXIII- Series 7- Growth Option,Low,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141038, Nippon India Fixed Horizon Fund XXXIII- Series 7- Direct Plan-Dividend Payout Option,Moderately High,Others,Others,Nippon India Fixed Horizon Fund XXXIII
141040, Franklin India Fixed Maturity Plans - Series 1 - Plan A (1108 days) - Growth,Moderate,Others,Others,Franklin India Fixed Maturity Plans
141041, Franklin India Fixed Maturity Plans - Series 1 - Plan A (1108 days) - Dividend,Moderately High,Others,Others,Franklin India Fixed Maturity Plans
141043, Franklin India Fixed Maturity Plans - Series 1 - Plan A (1108 days) - Growth - Direct,Moderately High,Others,Others,Franklin India Fixed Maturity Plans
141046, Kotak FMP Series 202-DirectPLan-Dividend Payout Option,Low to Moderate,Others,Others,Kotak FMP Series 202
141047, Kotak FMP Series 202-Direct Plan-Growth Option,Low to Moderate,Others,Others,Kotak FMP Series 202
141048, Kotak FMP Series 202-Regular Plan-Dividend Payout Option,Moderate,Others,Others,Kotak FMP Series 202
141049, Kotak FMP Series 202-Regular Plan-Growth Option,Moderately High,Others,Others,Kotak FMP Series 202
141060, Quantum Dynamic Bond Fund - Regular Plan Monthly IDCW,Very High,Debt Scheme,Dynamic Bond,Quantum Dynamic Bond Fund
141061, Quantum Dynamic Bond Fund - Regular Plan Growth Option,High,Debt Scheme,Dynamic Bond,Quantum Dynamic Bond Fund
141062, Quantum Equity Fund Of Funds - Regular Plan IDCW,Moderately High,Other Scheme,FoFs(Oversease/Domestic),Quantum Equity Fund Of Funds
141063, Quantum Equity Fund of Funds - Regular Plan Growth Option,Moderate,Other Scheme,FoFs(Oversease/Domestic),Quantum Equity Fund of Funds
141064, Quantum Gold Savings Fund - Regular Plan Growth Option,Low to Moderate,Other Scheme,FoFs(Oversease/Domestic),Quantum Gold Savings Fund
141065, Quantum Liquid Fund - Regular Plan Daily IDCW,Moderately High,Debt Scheme,Liquid,Quantum Liquid Fund
141066, Quantum Liquid Fund - Regular Plan Growth Option,Very High,Debt Scheme,Liquid,Quantum Liquid Fund
141067, Quantum Liquid Fund - Regular Plan Monthly IDCW,Moderately High,Debt Scheme,Liquid,Quantum Liquid Fund
